"","machine_learning_model","feature_set","FLUXNET_site_id","climate","IGBF","MAE_mm","R2","mean_bias_error_mm","mean_AET_observation_mm"
"67","extra_trees","{air_temp, atm_pressure, rel_humidity}","ES-Amo","Arid","Shrubland",1.7249653093795,0.0780551260815904,1.71313039527983,0.599181541934393
"68","extra_trees","{air_temp, atm_pressure, rel_humidity}","FI-Hyy","Cold","Forest",0.585572515997759,0.66701758510667,-0.262485945381346,1.39973447504881
"69","extra_trees","{air_temp, atm_pressure, rel_humidity}","FR-Gri","Temperate","Cropland",0.882188954837534,0.32961538241627,-0.486078919948509,1.96235598624734
"70","extra_trees","{air_temp, atm_pressure, rel_humidity}","FR-LBr","Temperate","Forest",0.765733588425358,0.390840351044833,-0.268002622811461,1.91253068374344
"71","extra_trees","{air_temp, atm_pressure, rel_humidity}","IT-CA1","Temperate","Forest",0.968310783510716,0.144299935743805,-0.0580597584364865,2.102900013934
"72","extra_trees","{air_temp, atm_pressure, rel_humidity}","IT-SR2","Temperate","Forest",0.937503534810683,0.520592739263904,-0.115191601386431,1.98649337907342
"73","extra_trees","{air_temp, atm_pressure, rel_humidity}","RU-Ha1","Cold","Grasslands",0.501089599735121,0.734177558313869,-0.0692224567282768,1.74409289973497
"74","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-ARb","Temperate","Grasslands",1.24244800590725,0.407778289471592,0.282802557669126,1.85875801538339
"75","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-ARc","Temperate","Grasslands",1.21506878428494,0.447966493536313,-0.0471962037302019,2.23411820789745
"76","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-Blo","Temperate","Forest",1.3766445770205,0.330748999546137,-1.02151877830364,2.83608497018655
"77","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-Lin","Arid","Cropland",0.821661050268991,0.0637339300674571,-0.188467552614339,1.79534947158349
"78","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-LWW","Temperate","Grasslands",0.904292372109957,0.464989258308772,0.765445216738462,1.29986527309634
"79","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-Oho","Cold","Forest",1.08372095058956,0.627834986468193,-0.529974547222551,1.82958744907314
"80","extra_trees","{air_temp, atm_pressure, rel_humidity}","US-WCr","Cold","Forest",0.815765254677807,0.621739383608477,-0.175696187905017,1.46453035818238
"81","extra_trees","{air_temp, atm_pressure, rel_humidity}","ZM-Mon","Equatorial","Forest",0.795566055889646,0.307304553840483,-0.175300935813086,2.51205219177693
"82","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-ASM","Arid","Savanna",0.588791677076063,0.655291563019383,0.199289626752127,0.977104218366496
"83","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Lox","Arid","Forest",4.04893155565687,0.194358000321092,-3.98349826352478,5.66391095670895
"84","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-RDF","Equatorial","Savanna",1.03996199147647,0.512743985961827,0.319352097931116,1.96860317649799
"85","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-TTE","Arid","Grasslands",0.605254375531544,0.444676943825955,0.275113034276722,0.661566096736985
"86","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Wac","Temperate","Forest",0.808654715508377,0.448810918070814,-0.643400106345143,1.98473624014452
"87","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","AU-Wom","Temperate","Forest",0.812837209430378,0.581581629815946,-0.605732523141797,2.45637833203942
"88","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","BE-Lon","Temperate","Cropland",0.510720646959695,0.758817207668962,0.0768102523929327,1.36324774662484
"89","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CA-Qfo","Cold","Forest",0.299687414753886,0.811933507521068,-0.0351206352424515,1.00823975798328
"90","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CA-SF3","Cold","Shrubland",0.342923201807724,0.771145573996821,-0.0362920227516739,1.00289121884882
"91","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CH-Cha","Temperate","Grasslands",0.735715358500872,0.836568465947378,-0.670421538074449,2.03058468772694
"92","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","CN-Cng","Cold","Grasslands",0.598013730538838,0.735708342582734,-0.0794935931005163,1.86852355816417
"93","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","DE-Gri","Temperate","Grasslands",0.406073387502848,0.925382615401892,-0.203719188543168,1.67317391319268
"94","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","ES-Amo","Arid","Shrubland",1.51950779824263,0.00811197994715072,1.49737610628229,0.599181541934393
"95","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FI-Hyy","Cold","Forest",0.397399097972434,0.844311626847078,-0.179773507676129,1.39973447504881
"96","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FR-Gri","Temperate","Cropland",0.730791910199537,0.627609917284337,-0.441481699473679,1.96235598624734
"97","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","FR-LBr","Temperate","Forest",0.56874655719899,0.663132520776468,-0.178935341945901,1.91253068374344
"98","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","IT-CA1","Temperate","Forest",0.808165880350857,0.552408429545802,0.515617408825504,2.102900013934
"99","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","IT-SR2","Temperate","Forest",0.65083714205943,0.718988321748165,0.084358926468786,1.98649337907342
"100","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","RU-Ha1","Cold","Grasslands",0.326219894234534,0.89135807559642,-0.0739375277093975,1.74409289973497
"101","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-ARb","Temperate","Grasslands",0.947768917497772,0.682048687375309,0.425321906516566,1.85875801538339
